Username,label,Time,action
未关注新客柠檬星66 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客Sunny 07:07,"['', '老客']",07:07,['进入直播间']
老客隐庭微笑 07:07,"['', '老客']",07:07,['点击了 【A1270】不退换美国直邮 拉*夫 男士 小熊骑马连帽卫衣']
未关注新客tbNick_mom7z 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客淘气的小松鼠520530 07:07,"['', '老客']",07:07,['进入直播间']
新客有斗志亚当tt 07:07,"['', '新客']",07:07,['从推荐来了']
新客小睿美女酱 07:07,"['', '新客']",07:07,['从推荐来了']
未关注新客tbNick_5k78x 07:07,"['未关注', '新客']",07:07,['从推荐来了']
老客小头狐狸她妹 07:07,"['', '老客']",07:07,['露露裤子有吗']
未关注新客喜欢你下决心 07:08,"['未关注', '新客']",07:08,['进入直播间']
新客菠萝小乖乖 07:07,"['', '新客']",07:07,['从直播频道关注来了']
未关注新客pochibb:开发测试1 07:08,"['未关注', '新客']",07:08,['进入直播间']
未关注新客pochibb:草莓 07:08,"['未关注', '新客']",07:08,['进入直播间']
未关注新客pochibb:柠檬 07:08,"['未关注', '新客']",07:08,['进入直播间']
未关注新客清晨清清大魔头 07:08,"['未关注', '新客']",07:08,['进入直播间']
老客pingguo 07:04,"['', '老客']",07:04,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
新客红梅aa21 07:08,"['', '新客']",07:08,['从推荐来了']
新客微光下的向日葵 07:08,"['', '新客']",07:08,['从直播频道关注来了']
老客LOVE古力 07:08,"['', '老客']",07:08,['从直播频道关注来了']
老客胖墩儿zzZZ 07:08,"['', '老客']",07:08,['从推荐来了']
老客用户_94372373 07:08,"['', '老客']",07:08,['从推荐来了']
新客多多猫咪喜欢吃 07:08,"['', '新客']",07:08,['从推荐来了']
老客青橙子1872 07:08,"['', '老客']",07:08,['从推荐来了']
未关注新客tbNick_58mc7 07:08,"['未关注', '新客']",07:08,['进入直播间']
未关注新客纤矜萧睫 07:07,"['未关注', '新客']",07:07,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
新客笑笑笑笑 07:08,"['', '新客']",07:08,['进入直播间']
老客小美妈咪 07:08,"['', '老客']",07:08,['从推荐来了']
未关注新客龙龙龙锦 07:08,"['未关注', '新客']",07:08,['从推荐来了']
未关注新客清晨清清大魔头 07:08,"['未关注', '新客']",07:08,['从推荐来了']
老客Sunny 07:07,"['', '老客']",07:07,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
新客___SummerT 07:07,"['', '新客']",07:07,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
老客隐庭微笑 07:07,"['', '老客']",07:07,['加购了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
老客淘气的小松鼠520530 07:08,"['', '老客']",07:08,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
新客爱笑的女孩 07:08,"['', '新客']",07:08,['从推荐来了']
老客海王星 07:06,"['', '老客']",07:06,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
新客圆圈圈 07:08,"['', '新客']",07:08,['从直播频道关注来了']
未关注新客tbNick_58mc7 07:08,"['未关注', '新客']",07:08,['从推荐来了']
新客笑笑笑笑 07:08,"['', '新客']",07:08,['从直播频道关注来了']
老客隐庭微笑 07:07,"['', '老客']",07:07,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客小头狐狸她妹 07:08,"['', '老客']",07:08,['女裤']
未关注新客美宁1980 07:08,"['未关注', '新客']",07:08,['进入直播间']
老客小P2017 07:08,"['', '老客']",07:08,['从推荐来了']
老客杜杜 07:08,"['', '老客']",07:08,['进入直播间']
未关注新客谢s来了 07:08,"['未关注', '新客']",07:08,['从推荐来了']
老客笑弯弯 07:08,"['', '老客']",07:08,['从直播频道关注来了']
未关注新客祎祎宝贝 07:08,"['未关注', '新客']",07:08,['从推荐来了']
老客隐庭微笑 07:07,"['', '老客']",07:07,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
未关注老客wwz9168 07:08,"['未关注', '老客']",07:08,['进入直播间']
新客没有云的晴天 07:08,"['', '新客']",07:08,['从推荐来了']
新客果汁猪猪 07:08,"['', '新客']",07:08,['从直播频道关注来了']
新客银星雨 07:08,"['', '新客']",07:08,['从推荐来了']
新客优优糖88 07:08,"['', '新客']",07:08,['从推荐来了']
新客Eeeeeeffy 07:08,"['', '新客']",07:08,['从直播频道关注来了']
老客521我是一个小伙子:) 07:08,"['', '老客']",07:08,['从直播频道关注来了']
老客低调的库洛米 07:08,"['', '老客']",07:08,['从推荐来了']
未关注新客用户_24889173 07:08,"['未关注', '新客']",07:08,['从推荐来了']
新客果雨 07:08,"['', '新客']",07:08,['从推荐来了']
未关注老客min87love 07:08,"['未关注', '老客']",07:08,['进入直播间']
新客小巾凡子^=^ 07:08,"['', '新客']",07:08,['从推荐来了']
未关注新客萍水相逢 07:08,"['未关注', '新客']",07:08,['从推荐来了']
未关注老客小摩托-大神 07:08,"['未关注', '老客']",07:08,['从推荐来了']
新客Free12 07:08,"['', '新客']",07:08,['从推荐来了']
老客小彭尼奈吶 07:08,"['', '老客']",07:08,['进入直播间']
未关注新客纤矜萧睫 07:08,"['未关注', '新客']",07:08,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客LOVE古力 07:08,"['', '老客']",07:08,['点击了 【A0021】不退换美国直邮海*鸥女士瑜伽裤【0316-900】']
老客杜杜 07:08,"['', '老客']",07:08,['点击了 【0331025】不退换美国直邮 拉*夫 女士圆领卫衣【211923382】']
未关注新客咖啡不苦有点甜 07:08,"['未关注', '新客']",07:08,['从推荐来了']
未关注新客爱猫咪的猫咪猫咪 07:09,"['未关注', '新客']",07:09,['进入直播间']
未关注新客羊羊羊羊羊ne 07:08,"['未关注', '新客']",07:08,['从推荐来了']
老客请叫我抠抠 07:08,"['', '老客']",07:08,['从推荐来了']
新客Sunny300% 07:08,"['', '新客']",07:08,['从推荐来了']
新客小小甜在努力 07:08,"['', '新客']",07:08,['从直播频道关注来了']
未关注新客pochibb:开发测试1 07:09,"['未关注', '新客']",07:09,['进入直播间']
未关注新客pochibb:草莓 07:09,"['未关注', '新客']",07:09,['进入直播间']
未关注新客pochibb:柠檬 07:09,"['未关注', '新客']",07:09,['进入直播间']
未关注新客青橄榄shy 07:09,"['未关注', '新客']",07:09,['从推荐来了']
新客心呢的心事^(00)^ 07:09,"['', '新客']",07:09,['从推荐来了']
未关注新客玫瑰精灵 07:09,"['未关注', '新客']",07:09,['进入直播间']
新客小梅^_^ 07:09,"['', '新客']",07:09,['进入直播间']
未关注新客Linzi 07:09,"['未关注', '新客']",07:09,['从推荐来了']
老客SY贝贝猫 07:09,"['', '老客']",07:09,['从推荐来了']
新客多次婉拒Ares 07:09,"['', '新客']",07:09,['从推荐来了']
老客wendyjan 07:09,"['', '老客']",07:09,['进入直播间']
未关注新客纤矜萧睫 07:08,"['未关注', '新客']",07:08,['点击了 0331030】不退换美国直邮CK女士短袖T恤 【cjct3776']
老客小彭尼奈吶 07:08,"['', '老客']",07:08,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
新客桃子吖 07:09,"['', '新客']",07:09,['从推荐来了']
未关注新客Asdf12345678 07:09,"['未关注', '新客']",07:09,['从推荐来了']
老客sallys有有 07:09,"['', '老客']",07:09,['从直播频道关注来了']
未关注新客纤矜萧睫 07:09,"['未关注', '新客']",07:09,['点击了 【0331006】不退换 美国直邮  CK 女士无袖背心【40WP247】']
未关注老客min87love 07:08,"['未关注', '老客']",07:08,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
新客没有云的晴天 07:08,"['', '新客']",07:08,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
